,Volume (L),X_B,y_B,y_D,y_H,y_T
45,450.0,0.5135267265044856,0.4864732734955144,0.20440728902884153,0.27421538799337664,0.03490404948226756
46,460.0,0.5160107431015337,0.48398925689846634,0.2045485981615371,0.2758242960138435,0.03563784892615324
47,470.0,0.518367673597238,0.4816323264027619,0.2046396938689524,0.2773652177751746,0.03636276195311114
48,480.0,0.5206051141355879,0.4793948858644121,0.20468433189652124,0.27884196545821816,0.0370788167808485
49,490.0,0.5227305239511276,0.47726947604887227,0.20468620432915183,0.2802582811910345,0.03778603843094136
50,500.0,0.5247512253689575,0.4752487746310425,0.20464893959122687,0.28161783704889615,0.03848444872883463
51,510.0,0.5266744038047327,0.4733255961952672,0.2045761024466034,0.2829242350542874,0.03917406630384201
52,520.0,0.528507107764664,0.4714928922353359,0.20447119399861302,0.28418100717690503,0.03985490658914602
53,530.0,0.5302562488455176,0.46974375115448225,0.20433765169006174,0.2853916153336578,0.040526981821798036
54,540.0,0.531928601734615,0.4680713982653849,0.2041788493032302,0.28655945138866656,0.041190301042718244
55,550.0,0.5335307935997331,0.4664692064002668,0.20399808995843588,0.28768783241367674,0.04184487122762045
56,560.0,0.535066354781414,0.46493364521858604,0.20379675999877261,0.2887786498546851,0.04249094492795628
57,570.0,0.5365364424496831,0.4634635575503168,0.20357504266429569,0.2898326140783569,0.04312878570703062
58,580.0,0.537943226451658,0.46205677354834196,0.20333386623090738,0.29085086222413625,0.04375849799661446
59,590.0,0.5392888880144638,0.4607111119855361,0.20307416729663016,0.29183453624409916,0.044380184473734506
60,600.0,0.540575619745234,0.45942438025476584,0.20279689078160715,0.2927847829029537,0.044993946060673286
61,610.0,0.5418056256311105,0.45819437436888955,0.2025029899281017,0.29370275377803967,0.04559988192496903
62,620.0,0.5429811210392425,0.45701887896075744,0.20219342630049772,0.2945896052593291,0.04619808947941572
63,630.0,0.5441043327167883,0.4558956672832117,0.20186916978529948,0.2954464985494257,0.046788664382063125
64,640.0,0.5451774987909135,0.45482250120908646,0.20153119859113175,0.2962745996635652,0.047371700536216726
65,650.0,0.5462028687687925,0.45379713123120746,0.2011804992487396,0.29707507942961514,0.04794729009043779
66,660.0,0.5471827035376072,0.45281729646239266,0.20081806661098867,0.2978491134880753,0.04851552343854333
67,670.0,0.5481192753645482,0.45188072463545176,0.20044490385286495,0.2985978822920772,0.04907648921960611
68,680.0,0.5490148678968136,0.45098513210318625,0.20006202247147492,0.29932257110738414,0.04963027431795463
69,690.0,0.5498717761616104,0.45012822383838963,0.19967044228604544,0.30002437001239174,0.050176963863173184
70,700.0,0.5506923065661526,0.44930769343384724,0.19927119143792374,0.30070447389812727,0.05071664123010176
71,710.0,0.5514787768976637,0.44852122310233633,0.19886530639057762,0.3013640824682499,0.051249388038836156
72,720.0,0.5522335163233741,0.4477664836766259,0.1984538319295952,0.302004400239051,0.05177528415472791
73,730.0,0.5529588653905229,0.4470411346094771,0.19803782116268506,0.3026266365394536,0.052294407688384274
74,740.0,0.5536571760263573,0.4463428239736427,0.19761833551967625,0.30323200551101287,0.0528068349956683
75,750.0,0.5543308115381326,0.44566918846186737,0.19719644475251816,0.30382172610791564,0.05331264067769877
76,760.0,0.554982146613112,0.44501785338688793,0.19677322693528068,0.3043970220969811,0.05381189758085024
77,770.0,0.5556135673185671,0.44438643268143285,0.19634976846415414,0.30495912205766007,0.054304676796752986
78,780.0,0.5562274711017776,0.44377252889822244,0.19592716405744923,0.30550925938203527,0.05479104766229306
79,790.0,0.5568248492975137,0.44317515070248614,0.19550577791484602,0.3060479735600605,0.05527109782260727
80,800.0,0.5574029323626392,0.44259706763736084,0.19508402552841989,0.3065739463989529,0.055744960435266507
81,810.0,0.5579621196170776,0.4420378803829224,0.1946619857330833,0.3070874178336907,0.05621271605030373
82,820.0,0.5585030833923826,0.44149691660761725,0.1942398811891542,0.3075887618652037,0.05667444033802475
83,830.0,0.559026490448134,0.44097350955186587,0.19381793283779128,0.30807834935282563,0.057130208257517204
84,840.0,0.5595330019719377,0.4404669980280623,0.19339635990099321,0.30855654801429405,0.05758009405665045
85,850.0,0.5600232735794253,0.4399767264205747,0.19297537988159916,0.3090237224257505,0.05802417127207567
86,860.0,0.5604979553142548,0.4395020446857452,0.19255520856328864,0.3094802340217403,0.05846251272922584
87,870.0,0.5609576916481102,0.43904230835188973,0.19213606001058156,0.309926441095213,0.058895190542315734
88,880.0,0.5614031214807018,0.43859687851929824,0.19171814656883812,0.3103626987975219,0.05932227611434189
89,890.0,0.5618348781397656,0.4381651218602345,0.1913016788642589,0.31078935913842415,0.05974384013708265
90,900.0,0.5622535893810638,0.4377464106189361,0.19088686580388475,0.311206770986081,0.06015995259109814
91,910.0,0.562659877388385,0.43734012261161503,0.19047391457559706,0.3116152800670576,0.06057068274573029
92,920.0,0.5630543587735434,0.43694564122645657,0.19006303064811744,0.31201522896632305,0.06097609915910283
93,930.0,0.5634376445763796,0.4365623554236205,0.18965441777100792,0.31240695712725036,0.06137626967812125
94,940.0,0.56381034026476,0.43618965973524,0.18924827797467078,0.3127908008516164,0.061771261438472856
95,950.0,0.5641730457345776,0.43582695426542245,0.18884481157034874,0.3131670932996021,0.062161140864626714
96,960.0,0.5645263553097507,0.4354736446902492,0.18844421715012485,0.31353616448979227,0.06254597366983372
97,970.0,0.5648708577422246,0.43512914225777527,0.18804669158692258,0.31389834129917554,0.06292582485612652
98,980.0,0.5652071362119699,0.43479286378803,0.18765243003450566,0.31425394746314483,0.0633007587143196
99,990.0,0.5655357683269838,0.4344642316730162,0.18726162592747816,0.31460330357549643,0.06367083882400919
100,1000.0,0.565857326123289,0.43414267387671096,0.18687447098128462,0.3149467270884312,0.06403612805357332
